lane	local_target	external_repo	external_module	theorems	adapter_target	priority
integration_seed	Aristotle.Standalone.ExternalPort.DirichletNonvanishingCompat	DirichletNonvanishing	Project/EulerProducts/PNT.lean	riemannZeta_ne_zero_of_one_le_re;neg_logDeriv_ζ₁_eq;continuousOn_neg_logDeriv_ζ₁	Standalone/ExternalPort/DirichletNonvanishingCompat.lean (implemented wrappers)	0
integration_seed	Aristotle.Standalone.ExternalPort.PrimeNumberTheoremAndContourCompat	PrimeNumberTheoremAnd	PrimeNumberTheoremAnd/PerronFormula.lean	contourPull;residuePull1;residuePull2	Standalone/ExternalPort/PrimeNumberTheoremAndContourCompat.lean (implemented wrappers)	0
integration_seed	Aristotle.Standalone.ExternalPort.StrongPNTLogDerivCompat	strongpnt	StrongPNT/PNT4_ZeroFreeRegion.lean	log-derivative meromorphicity and pole-growth compatibility	Standalone/ExternalPort/StrongPNTLogDerivCompat.lean (implemented wrappers)	0
integration_seed	Aristotle.Standalone.ExternalPort.B5aLegacyPayloadWiring	PrimeNumberTheoremAnd+strongpnt	adapter synthesis	payload-to-rootPayload-to-shiftedBound endpoint wiring	Standalone/ExternalPort/B5aLegacyPayloadWiring.lean (implemented endpoints)	0
integration_seed	Aristotle.Standalone.ExternalPort.B5aExternalLegacyComponentsPayload	PrimeNumberTheoremAnd+strongpnt	component-port synthesis	external legacy components -> legacy payload -> B5a shifted bound	Standalone/ExternalPort/B5aExternalLegacyComponentsPayload.lean (implemented class+endpoints)	0
integration_seed	Aristotle.Standalone.ExternalPort.B5aExternalShiftedComponentsPayload	PrimeNumberTheoremAnd+strongpnt	component-port synthesis	external shifted components -> B5a root payload -> general hyp	Standalone/ExternalPort/B5aExternalShiftedComponentsPayload.lean (implemented class+endpoints)	0
integration_seed	Aristotle.Standalone.ExternalPort.StrongPNTGrowthCompat	strongpnt	StrongPNT/PNT5_Strong.lean	IBound_aux1 (log^k linear majorant)	Standalone/ExternalPort/StrongPNTGrowthCompat.lean (ported theorem)	0
integration_seed	Aristotle.Standalone.ExternalPort.StrongPNTRectangleHolomorphicCompat	strongpnt	StrongPNT/PNT5_Strong.lean	BddAboveOnRect (holomorphic rectangle bounded-image helper)	Standalone/ExternalPort/StrongPNTRectangleHolomorphicCompat.lean (ported theorem)	0
integration_seed	Aristotle.Standalone.ExternalPort.B5aExternalAutoInstances	adapter synthesis	auto-instance wiring	external B5a payload classes -> ExplicitFormulaPsiHyp/GeneralHyp/root-payload lanes	Standalone/ExternalPort/B5aExternalAutoInstances.lean (implemented class bridges)	0
integration_seed	Aristotle.Standalone.ExternalPort.RHPiExternalExactSeedAutoInstances	adapter synthesis	auto-instance wiring	external RH-pi exact-seed payload class -> truncated/target/anti-target lanes	Standalone/ExternalPort/RHPiExternalExactSeedAutoInstances.lean (implemented class bridges)	0
integration_seed	Aristotle.Standalone.ExternalPort.B5aExternalConcreteWitnessLane	adapter synthesis	concrete witness lane	one concrete legacy linear-log witness theorem term -> B5a shifted-remainder endpoint	Standalone/ExternalPort/B5aExternalConcreteWitnessLane.lean (implemented term adapters)	0
integration_seed	Aristotle.Standalone.ExternalPort.RHPiExternalConcreteExactSeedLane	adapter synthesis	concrete witness lane	one concrete RH-pi truncated/target/anti-target witness triple -> exact-seed endpoint triple	Standalone/ExternalPort/RHPiExternalConcreteExactSeedLane.lean (implemented term adapters)	0
integration_seed	Aristotle.Standalone.ExplicitFormulaPsiB5aShiftedBoundDeepLeaf	endpoint adoption	candidate route adoption	added concrete external witness candidate route theorem in deep-leaf endpoint	Standalone/ExplicitFormulaPsiB5aShiftedBoundDeepLeaf.lean (new candidate theorem)	0
integration_seed	Aristotle.Standalone.RHPiUnconditionalExactSeedExistence	endpoint adoption	candidate route adoption	added concrete external witness candidate routes in RH-pi exact-seed endpoint	Standalone/RHPiUnconditionalExactSeedExistence.lean (new candidate theorems)	0
B5a	Aristotle.DirichletPhaseAlignment.ExplicitFormulaPsiHyp	PrimeNumberTheoremAnd	PrimeNumberTheoremAnd/MediumPNT.lean	SmoothedChebyshevClose;SmoothedChebyshevPull1;SmoothedChebyshevPull2;ZetaBoxEval;I1Bound;I2Bound;I3Bound;I4Bound;I5Bound	ExplicitFormulaPsiLegacyLinearLogRootPayload.witness	1
B5a	Aristotle.DirichletPhaseAlignment.ExplicitFormulaPsiHyp	strongpnt	StrongPNT/PNT5_Strong.lean	SmoothedChebyshevPull1;SmoothedChebyshevPull2;ZetaBoxEval;I1Bound;I2Bound;I3Bound;I4Bound;I5Bound;I6Bound;I7Bound;I8Bound	ExplicitFormulaPsiLegacyLinearLogRootPayload.witness	1
B5a	Aristotle.Standalone.ExplicitFormulaPsiB5aShiftedBoundDeepLeaf.shifted_remainder_bound_leaf	PrimeNumberTheoremAnd	PrimeNumberTheoremAnd/PerronFormula.lean	contourPull;residuePull1;residuePull2	ExplicitFormulaPsiB5aRootInfra.shifted_remainder_bound_of_legacy_explicit_formula	1
RH-pi	Aristotle.Standalone.RHPiUnconditionalExactSeedRootInfra.RHPiUnconditionalExactSeedRootPayload	DirichletNonvanishing	Project/EulerProducts/PNT.lean	riemannZeta_ne_zero_of_one_le_re;neg_logDeriv_ζ₁_eq;continuousOn_neg_logDeriv_ζ₁	RHPiUnconditionalExactSeedRootPayload fields (truncated/target/antiTarget)	2
B1	ZetaMeanSquareHalfBound	PrimeNumberTheoremAnd	PrimeNumberTheoremAnd/MellinCalculus.lean	MellinConvolutionTransform;MellinOfSmooth1a;MellinOfSmooth1b	B1 root provider theorem/class instance	3
B2	Aristotle.Standalone.B2SupportPhaseRootInfra.B2SupportPhaseRootPayload	PrimeNumberTheoremAnd	PrimeNumberTheoremAnd/ZetaAppendix.lean	lemma_aachIBP;lemma_aachcanc;proposition_applem	B2 support/tail payload adapters	4
RS7	Aristotle.ErrorTermExpansion.* and Aristotle.RSBlockBounds.*	strongpnt	StrongPNT/PNT4_ZeroFreeRegion.lean	LogDeriv bounds cluster (local lemmas near zero-free-region block)	RS7 adapter lemmas (new modules)	5
integration_seed	Aristotle.Standalone.ExternalPort.StrongPNTReciprocalLogCompat	strongpnt	StrongPNT/PNT5_Strong.lean	norm_reciprocal_inequality_1;norm_reciprocal_inequality;one_add_inv_log;log_pos	Standalone/ExternalPort/StrongPNTReciprocalLogCompat.lean (ported helper theorems)	0
integration_seed	Aristotle.Standalone.ExternalPort.StrongPNTLogDerivativeHolomorphicCompat	strongpnt	Riemann-project/HolomorphicLog.lean + mathlib zeta lemmas	differentiableOn_logDeriv;continuousOn_logDeriv;differentiableOn_logDeriv_riemannZeta_re_gt_one;differentiableOn_neg_logDeriv_riemannZeta_re_gt_one;continuousOn_neg_logDeriv_riemannZeta_re_gt_one	Standalone/ExternalPort/StrongPNTLogDerivativeHolomorphicCompat.lean (ported helper theorems)	0
integration_seed	Aristotle.Standalone.ExternalPort.StrongPNTLogDerivativeRectangleBoundCompat	strongpnt	StrongPNT/PNT5_Strong.lean + Riemann-project/HolomorphicLog.lean	bddAbove_norm_neg_logDeriv_image_rectangle_of_re_gt_one;exists_norm_neg_logDeriv_bound_on_rectangle_of_re_gt_one	Standalone/ExternalPort/StrongPNTLogDerivativeRectangleBoundCompat.lean (ported rectangle boundedness adapter)	0
integration_seed	Aristotle.Standalone.ExternalPort.B5aExternalConcreteComponentsLane	PrimeNumberTheoremAnd+strongpnt	component-port synthesis	externalLegacyComponentsPayload_of_witness;legacy_linear_log_bound_of_concrete_external_components;explicitFormulaPsiHyp_of_concrete_external_components;shifted_remainder_bound_of_concrete_external_components	Standalone/ExternalPort/B5aExternalConcreteComponentsLane.lean (concrete component adapter lane)	0
integration_seed	Aristotle.Standalone.ExternalPort.RHPiExternalConcreteExactSeedLane	DirichletNonvanishing+bridge synthesis	concrete bundled witness lane	ConcreteExactSeedTriple;externalExactSeedPayload_of_triple;truncatedExplicitFormulaPi_of_concrete_external_triple;targetTowerExactSeedAbovePerronThreshold_of_concrete_external_triple;antiTargetTowerExactSeedAbovePerronThreshold_of_concrete_external_triple;exactSeedTriple_of_concrete_external_triple	Standalone/ExternalPort/RHPiExternalConcreteExactSeedLane.lean (bundled witness adapter lane)	0
integration_seed	Aristotle.Standalone.ExplicitFormulaPsiB5aShiftedBoundDeepLeaf	endpoint adoption	external payload class routes	shifted_remainder_bound_candidate_of_external_witness_payload;shifted_remainder_bound_candidate_of_external_legacy_components_payload;shifted_remainder_bound_candidate_of_external_shifted_components_payload	Standalone/ExplicitFormulaPsiB5aShiftedBoundDeepLeaf.lean (class-driven candidate routes)	0
integration_seed	Aristotle.Standalone.RHPiUnconditionalExactSeedExistence	endpoint adoption	external payload class routes	exactSeedUnconditionalTriple_of_externalPayload;truncatedExplicitFormulaPi_unconditional_of_externalPayload;targetTowerExactSeedAbovePerronThreshold_unconditional_of_externalPayload;antiTargetTowerExactSeedAbovePerronThreshold_unconditional_of_externalPayload	Standalone/RHPiUnconditionalExactSeedExistence.lean (class-driven candidate routes)	0
integration_seed	Aristotle.Standalone.ExternalPort.ExternalConstructorReadiness	adapter synthesis	constructor readiness	b5a_constructor_bundle_of_concrete_external_witness;b5a_constructor_bundle_of_concrete_external_components;rhpi_rootPayload_of_concrete_external_triple;rhpi_exactSeedTriple_of_concrete_external_triple	Standalone/ExternalPort/ExternalConstructorReadiness.lean (new synthesis/readiness module)	0
